Franchise;Lg;From;To;Yrs;G;W;L;W/L%;Plyfs;Div;Conf;Champ
San Antonio Spurs;NBA/ABA;1967-68;2019-20;53;4285;2567;1718;.599;47;22;6;5
Los Angeles Lakers;NBA/BAA;1948-49;2019-20;72;5678;3382;2296;.596;61;32;18;16
Boston Celtics;NBA/BAA;1946-47;2019-20;74;5788;3421;2367;.591;57;31;9;17
Oklahoma City Thunder;NBA;1967-68;2019-20;53;4280;2323;1957;.543;31;11;4;1
Utah Jazz;NBA;1974-75;2019-20;46;3706;2005;1701;.541;28;9;2;0
Portland Trail Blazers;NBA;1970-71;2019-20;50;4036;2163;1873;.536;35;6;3;1
Houston Rockets;NBA;1967-68;2019-20;53;4280;2265;2015;.529;33;7;4;2
Phoenix Suns;NBA;1968-69;2019-20;52;4199;2212;1987;.527;29;6;2;0
Miami Heat;NBA;1988-89;2019-20;32;2559;1335;1224;.522;20;13;5;3
Milwaukee Bucks;NBA;1968-69;2019-20;52;4199;2182;2017;.520;32;14;2;1
Indiana Pacers;NBA/ABA;1967-68;2019-20;53;4286;2210;2076;.516;35;9;1;3
Philadelphia 76ers;NBA;1949-50;2019-20;71;5615;2896;2719;.516;49;11;5;3
Chicago Bulls;NBA;1966-67;2019-20;54;4362;2227;2135;.511;35;9;6;6
Denver Nuggets;NBA/ABA;1967-68;2019-20;53;4287;2159;2128;.504;34;11;0;0
Dallas Mavericks;NBA;1980-81;2019-20;40;3217;1612;1605;.501;21;3;2;1
Atlanta Hawks;NBA;1949-50;2019-20;71;5619;2766;2853;.492;46;11;0;1
Detroit Pistons;NBA/BAA;1948-49;2019-20;72;5680;2753;2927;.485;42;11;5;3
New York Knicks;NBA/BAA;1946-47;2019-20;74;5787;2799;2988;.484;42;8;4;2
Golden State Warriors;NBA/BAA;1946-47;2019-20;74;5785;2787;2998;.482;35;12;6;6
Orlando Magic;NBA;1989-90;2019-20;31;2477;1188;1289;.480;15;6;2;0
Toronto Raptors;NBA;1995-96;2019-20;25;1984;948;1036;.478;12;6;1;1
New Orleans Pelicans;NBA;2002-03;2019-20;18;1442;671;771;.465;7;1;0;0
Cleveland Cavaliers;NBA;1970-71;2019-20;50;4035;1867;2168;.463;22;7;5;1
Sacramento Kings;NBA/BAA;1948-49;2019-20;72;5679;2590;3089;.456;29;5;0;1
Washington Wizards;NBA;1961-62;2019-20;59;4761;2152;2609;.452;29;8;4;1
Charlotte Hornets;NBA;1988-89;2019-20;30;2395;1050;1345;.438;10;0;0;0
Brooklyn Nets;NBA/ABA;1967-68;2019-20;53;4286;1854;2432;.433;27;5;2;2
Memphis Grizzlies;NBA;1995-96;2019-20;25;1985;824;1161;.415;10;0;0;0
Los Angeles Clippers;NBA;1970-71;2019-20;50;4034;1654;2380;.410;14;2;0;0
Minnesota Timberwolves;NBA;1989-90;2019-20;31;2476;980;1496;.396;9;1;0;0